time (seconds),encoderLeft (meters),encoderRight (meters)
27.701999999999998,0.9871856570243835,0.7121866345405579
27.802,0.9921844601631165,0.7171853184700012
27.902,0.9971832633018494,0.7221840023994446
28.002,1.002182126045227,0.7271826863288879
28.102,1.00718092918396,0.7321814298629761
28.202,1.0121798515319824,0.7371801733970642
28.301,1.0171786546707153,0.7421788573265076
28.402,1.0221774578094482,0.7471774816513062
28.501,1.0271762609481812,0.7521762251853943
28.602,1.0321751832962036,0.7571749091148376
28.703,1.0371739864349365,0.7621736526489258
28.802,1.0421727895736694,0.7671723365783691
28.9,1.0471715927124023,0.7721710801124573
29.002,1.0521705150604248,0.7771697640419006
29.102,1.0571693181991577,0.7821685075759888
29.202,1.0621681213378906,0.7871671915054321
29.302,1.0671669244766235,0.7921658754348755
29.402,1.072165846824646,0.7971645593643188
29.501,1.077164649963379,0.8021632432937622
29.602,1.0821634531021118,0.8071619868278503
29.701999999999998,1.0871623754501343,0.8121606707572937
29.802,1.0921611785888672,0.8171594142913818
29.9,1.0971599817276,0.8221580982208252
30.001,1.1021589040756226,0.8271568417549133
30.101,1.1071577072143555,0.8321555256843567
30.201,1.1121565103530884,0.8371542096138
30.302,1.1171553134918213,0.8421528935432434
30.401,1.1221541166305542,0.8471515774726868
30.502,1.127152919769287,0.8521503210067749
30.602,1.1321518421173096,0.857149064540863
30.701999999999998,1.1371506452560425,0.8621477484703064
30.803,1.1421494483947754,0.8671464323997498
30.902,1.1471483707427979,0.8721451163291931
31.002,1.1521471738815308,0.8771438002586365
31.102,1.1571459770202637,0.8821425437927246
31.202,1.1621447801589966,0.887141227722168
31.302,1.167143702507019,0.8921399712562561
31.401,1.1721426248550415,0.8971387147903442
31.502,1.1771414279937744,0.9021373987197876
31.601,1.1821402311325073,0.9071361422538757
31.7,1.1871390342712402,0.9121348261833191
31.802,1.1921378374099731,0.9171335101127625
31.902,1.1971367597579956,0.9221321940422058
32.002,1.202110767364502,0.9270561337471008
32.099,1.2046092748641968,0.924558699131012
32.201,1.2071071863174438,0.9220571517944336
